"Record_Index";"Message_ID";"IMEI";"Date_F";"Time_F";"Project_Version";"ID_Number";"Panel1_bv";"Panel2_bv";"Bridge1_dcv";"Bridge2_dcv";"Bridge1_dcc";"Bridge2_dcc";"Panel_dc1kw";"Panel2_dc1kw";"Status";"Panel_dctotalkw";"R_vol";"Y_vol";"B_vol";"R_curr";"Y_curr";"B_curr";"Frequency";"Phase1_kw";"Phase1_kvar";"Phase1_kva";"Phase2_kw";"Phase2_kvar";"Phase2_kva";"Phase3_kw";"Phase3_kvar";"Phase3_kva";"Bridge11_temp";"Bridge12_temp";"Bridge13_temp";"Bridge21_temp";"Bridge22_temp";"Bridge23_temp";"Cabinet1_temp";"Cabinet2_temp";"Cabinet3_temp";"Inductive1_temp";"Inductive2_temp";"Ambient_temp";"CCU_temp";"Coolingin_temp";"Coolingout_temp";"Active1_energy";"Active2_energy";"Activetotal_energy";"DC1_energy";"DC2_energy";"DCtotal_energy";"Reactive1_energy";"Reactive2_energy";"Reactivetotal_energy";"Capacitive1_energy";"Capacitive2_energy";"Capacitivetotal_energy";"SCB1";"SCB2";"SCB3";"SCB4";"SCB5";"SCB6";"SCB7";"SCB8";"SCB9";"SCB10";"Dummy9";"Dummy10";"Dummy11";"Dummy12";"Dummy13";"Dummy14";"Dummy15";"Dummy16";"Dummy17";"Dummy18";"Dummy19";"Dummy20";"Dummy21";"Dummy22";"Dummy23";"Date_S";"Time_S"
91;"WTWMD";862265073105518;"2026-05-21";"16:35:51";"WTS";"S00001";9.4;1213.8;6.0;"2026-05-21";"16:35:44";572.5;15.0;710.1;"RUN";490.0;490.0;455.0;695.0;694.0;671.0;65.0;99.99;215.5;0.2;50.4;280.5;11.3;231.6;1235.8;86.0;23.6;210.4;5163.0;355.0;12.7;301.8;1685.4;177.7;25.3;270.3;6204.3;61.9;68.9;53.0;59.0;47.9;35;56;74;70;47;75;0;51;56;48;0;0;0;0;0;0;71;71;40;45;50;35;"53.0";"76.0";"88.0";"0.0";"79.9";"81460";"81421";"81172";"81137";"81051";"80520";"0";"67694";"79388";"67694";"2026-05-21";"04:12:47"
92;"WTWMD";862265073105518;"2026-05-21";"16:36:30";"WTS";"S00001";8.7;1110.7;6.3;"2026-05-21";"16:36:22";619.3;16.2;711.2;"RUN";490.0;490.0;455.0;695.0;694.0;671.0;65.0;99.99;208.8;0.1;50.1;285.7;11.3;231.6;1235.8;86.0;23.6;210.4;5163.0;363.8;12.7;301.8;1685.4;177.7;25.3;270.3;6204.3;61.9;68.0;53.0;59.0;47.9;35;56;74;70;47;75;0;51;56;48;0;0;0;0;0;0;71;71;41;46;50;35;"54.0";"76.0";"69.0";"0.0";"79.9";"81460";"81421";"81172";"81137";"81051";"80520";"0";"67694";"79388";"67694";"2026-05-21";"04:12:48"
93;"WTWMD";862265073105518;"2026-05-21";"16:37:25";"WTS";"S00001";9.3;1146.8;6.9;"2026-05-21";"16:37:18";675.4;0.0;711.0;"RUN";490.0;490.0;455.0;695.0;694.0;671.0;65.0;99.99;214.0;0.2;50.0;293.4;11.3;231.6;1235.8;86.0;23.6;210.4;5163.0;375.2;12.7;301.8;1685.4;177.7;25.3;270.3;6204.3;61.9;68.0;53.0;59.0;48.5;35;56;73;70;47;80;0;51;56;49;0;0;0;0;0;0;73;73;41;46;50;35;"54.0";"78.0";"78.9";"0.0";"79.9";"81460";"81421";"81172";"81137";"81051";"80520";"0";"67694";"79388";"67694";"2026-05-21";"04:12:48"
94;"WTWMD";862265073105518;"2026-05-21";"16:37:50";"WTS";"S00001";9.3;1205.5;5.8;"2026-05-21";"16:37:43";677.9;12.7;711.0;"RUN";491.0;491.0;455.0;695.0;694.0;671.0;65.0;99.99;214.9;0.6;49.9;297.2;11.3;231.6;1235.8;86.0;23.6;210.4;5163.0;379.9;12.7;301.8;1685.4;177.7;25.3;270.3;6204.3;61.9;68.9;53.0;59.0;48.5;35;56;73;70;47;80;0;51;56;49;0;0;0;0;0;0;72;72;41;46;50;35;"54.0";"74.0";"86.0";"0.0";"79.9";"81460";"81421";"81172";"81137";"81051";"80520";"0";"67694";"79388";"67694";"2026-05-21";"04:12:49"
95;"WTWMD";862265073105518;"2026-05-21";"16:38:17";"WTS";"S00001";9.2;1185.6;5.6;"2026-05-21";"16:38:10";568.5;0.6;710.5;"RUN";491.0;491.0;455.0;695.0;694.0;671.0;65.0;99.99;209.8;0.6;49.7;301.2;11.3;231.6;1235.8;86.0;23.6;210.4;5163.0;384.1;12.7;301.8;1685.4;177.7;25.3;270.3;6204.3;61.9;68.9;53.0;59.0;48.8;35;56;73;70;47;80;0;51;56;49;0;0;0;0;0;0;72;72;41;46;50;35;"54.0";"78.0";"76.9";"0.0";"79.9";"81460";"81421";"81172";"81138";"81051";"80520";"0";"67694";"79388";"67694";"2026-05-21";"04:13:09"
96;"WTWMD";862265073105518;"2026-05-21";"16:38:47";"WTS";"S00001";8.4;1094.8;5.2;"2026-05-21";"16:38:40";533.3;0.0;710.5;"RUN";491.0;491.0;455.0;695.0;694.0;671.0;65.0;99.99;204.9;0.6;49.7;304.9;11.3;231.6;1235.8;86.0;23.6;210.4;5163.0;389.6;12.7;301.8;1685.4;177.7;25.3;270.3;6204.3;61.0;68.0;53.0;59.0;48.8;35;56;73;70;47;81;0;51;56;49;0;0;0;0;0;0;72;72;41;46;50;35;"54.0";"77.0";"69.9";"0.0";"79.9";"81460";"81421";"81172";"81138";"81051";"80520";"0";"67694";"79388";"67694";"2026-05-21";"04:13:46"
97;"WTWMD";862265073105518;"2026-05-21";"16:39:17";"WTS";"S00001";8.5;1080.9;5.7;"2026-05-21";"16:39:10";581.4;0.7;710.1;"RUN";491.0;491.0;455.0;695.0;694.0;671.0;65.0;99.99;200.4;0.2;49.7;308.6;11.3;231.6;1235.8;86.0;23.6;210.4;5163.0;395.4;12.7;301.8;1685.4;177.7;25.3;270.3;6204.3;61.0;68.0;53.0;59.0;48.4;36;56;73;70;47;78;0;51;56;49;0;0;0;0;0;0;72;72;41;46;50;36;"53.0";"80.0";"87.0";"0.0";"79.9";"81460";"81421";"81172";"81138";"81051";"80520";"0";"67694";"79388";"67694";"2026-05-21";"04:14:09"
98;"WTWMD";862265073105518;"2026-05-21";"16:39:47";"WTS";"S00001";8.9;1145.7;5.8;"2026-05-21";"16:39:40";283.4;14.5;708.3;"RUN";491.0;491.0;455.0;695.0;694.0;671.0;65.0;99.99;214.9;0.5;49.8;312.1;11.3;231.6;1235.8;86.0;23.6;210.4;5163.0;400.8;12.7;301.8;1685.4;177.7;25.3;270.3;6204.3;61.0;68.0;53.0;59.0;47.6;35;56;73;70;47;77;0;51;56;49;0;0;0;0;0;0;73;73;41;46;50;35;"54.0";"76.0";"72.0";"0.0";"79.9";"81460";"81421";"81172";"81138";"81051";"80520";"0";"67694";"79388";"67694";"2026-05-21";"04:14:42"
99;"WTWMD";862265073105518;"2026-05-21";"16:40:17";"WTS";"S00001";8.8;1049.4;5.0;"2026-05-21";"16:40:10";327.8;17.3;707.4;"RUN";99999.9;999.99;455.0;695.0;694.0;671.0;65.0;99.99;206.4;1.5;50.0;314.5;11.3;231.6;1235.8;86.0;23.6;210.4;5163.0;404.0;12.7;301.8;1685.4;177.7;25.3;270.3;6204.3;61.0;67.0;53.0;59.0;47.6;36;56;74;70;47;77;0;51;56;48;0;0;0;0;0;0;72;72;41;46;50;36;"53.0";"75.0";"86.0";"0.0";"79.9";"81460";"81421";"81172";"81138";"81051";"80520";"0";"67694";"79388";"67694";"2026-05-21";"04:15:09"
100;"WTWMD";862265073105518;"2026-05-21";"16:40:29";"WTS";"S00001";8.1;1047.5;4.6;"2026-05-21";"16:40:42";157.2;0.0;706.5;"RUN";491.0;491.0;455.0;695.0;694.0;671.0;65.0;99.99;201.6;2.0;50.0;316.3;11.3;231.6;1235.8;86.0;23.6;210.4;5163.0;406.7;12.7;301.8;1685.4;177.7;25.3;270.3;6204.3;61.0;67.0;53.0;59.0;48.1;35;56;74;70;47;77;0;51;56;48;0;0;0;0;0;0;73;73;41;46;50;35;"54.0";"81.0";"73.0";"0.0";"79.9";"81460";"81421";"81172";"81138";"81051";"80520";"0";"67694";"79388";"67694";"2026-05-21";"04:15:47"
101;"WTWMD";862265073105518;"2026-05-21";"16:41:17";"WTS";"S00001";8.1;1049.0;2.1;"2026-05-21";"16:41:10";39.0;100.0;706.1;"RUN";99999.9;999.99;455.0;695.0;694.0;671.0;65.0;99.99;217.1;2.7;50.0;317.4;11.3;231.6;1235.8;86.0;23.6;210.4;5163.0;407.0;12.7;301.8;1685.4;177.7;25.3;270.3;6204.3;60.0;67.0;53.0;59.0;47.5;35;56;73;70;47;77;0;51;56;48;0;0;0;0;0;0;73;73;41;46;50;35;"54.0";"81.0";"78.0";"0.0";"79.9";"81460";"81421";"81172";"81138";"81051";"80520";"0";"67694";"79388";"67694";"2026-05-21";"04:16:23"
102;"WTWMD";862265073105518;"2026-05-21";"16:41:51";"WTS";"S00001";8.1;1046.9;3.2;"2026-05-21";"16:41:44";69.4;0.0;706.7;"RUN";491.0;491.0;455.0;695.0;694.0;671.0;65.0;99.99;210.1;3.2;49.9;317.9;11.3;231.6;1235.8;86.0;23.6;210.4;5163.0;407.7;12.7;301.8;1685.4;177.7;25.3;270.3;6204.3;60.0;66.0;53.0;59.0;48.0;35;56;73;71;47;79;0;52;55;48;0;0;0;0;0;0;73;73;41;46;50;35;"53.0";"76.0";"73.9";"0.0";"79.9";"81460";"81421";"81173";"81138";"81051";"80520";"0";"67694";"79388";"67694";"2026-05-21";"04:16:46"
103;"WTWMD";862265073105518;"2026-05-21";"16:42:17";"WTS";"S00001";8.2;1050.9;3.2;"2026-05-21";"16:42:10";74.0;0.0;706.4;"RUN";491.0;491.0;455.0;695.0;694.0;671.0;65.0;99.99;205.7;3.0;49.8;318.3;11.3;231.7;1235.9;86.0;23.6;210.4;5163.0;408.5;12.8;301.9;1685.5;177.7;25.3;270.3;6204.3;60.9;66.0;54.0;59.0;48.4;35;56;73;70;47;78;0;52;55;47;0;0;0;0;0;0;73;73;41;46;50;35;"53.0";"80.0";"78.9";"0.0";"79.9";"81460";"81421";"81173";"81138";"81051";"80520";"0";"67694";"79388";"67694";"2026-05-21";"04:17:16"
104;"WTWMD";862265073105518;"2026-05-21";"16:42:47";"WTS";"S00001";8.1;1050.0;2.6;"2026-05-21";"16:42:40";229.0;47.0;707.8;"RUN";491.0;491.0;455.0;695.0;694.0;671.0;65.0;99.99;201.1;2.9;49.8;318.9;11.3;231.7;1235.9;86.0;23.6;210.4;5163.0;408.8;12.8;301.9;1685.5;177.7;25.3;270.3;6204.3;60.0;66.9;54.0;59.0;48.5;35;56;73;70;47;79;0;52;55;47;0;0;0;0;0;0;73;73;41;46;50;35;"53.0";"75.0";"75.9";"0.0";"79.9";"81461";"81421";"81173";"81138";"81051";"80520";"0";"67694";"79388";"67694";"2026-05-21";"04:17:39"
105;"WTWMD";862265073105518;"2026-05-21";"16:43:17";"WTS";"S00001";8.3;1051.9;4.8;"2026-05-21";"16:43:10";421.7;100.0;709.0;"RUN";491.0;491.0;455.0;695.0;694.0;671.0;65.0;99.99;215.3;1.5;49.7;320.4;11.3;231.7;1235.9;86.0;23.6;210.4;5163.0;410.8;12.8;301.9;1685.5;177.7;25.3;270.3;6204.3;60.0;66.9;54.0;59.0;48.5;35;56;73;70;47;80;0;52;55;47;0;0;0;0;0;0;73;73;41;46;50;35;"53.0";"75.0";"81.0";"0.0";"79.9";"81461";"81421";"81173";"81138";"81051";"80520";"0";"67694";"79388";"67694";"2026-05-21";"04:18:12"
106;"WTWMD";862265073105518;"2026-05-21";"16:43:17";"WTS";"S00001";8.3;1051.9;4.8;"2026-05-21";"16:43:10";421.7;100.0;709.0;"RUN";491.0;491.0;455.0;695.0;694.0;671.0;65.0;99.99;215.3;1.5;49.7;320.4;11.3;231.7;1235.9;86.0;23.6;210.4;5163.0;410.8;12.8;301.9;1685.5;177.7;25.3;270.3;6204.3;60.0;66.9;54.0;59.0;48.5;35;56;73;70;47;80;0;52;55;47;0;0;0;0;0;0;73;73;41;46;50;35;"53.0";"75.0";"81.0";"0.0";"79.9";"81461";"81421";"81173";"81138";"81051";"80520";"0";"67694";"79388";"67694";"2026-05-21";"04:18:47"
107;"WTWMD";862265073105518;"2026-05-21";"16:44:18";"WTS";"S00001";0.0;0.0;4.3;"2026-05-21";"16:44:10";387.7;48.7;709.3;"RUN";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;204.4;0.9;50.0;325.2;11.3;231.7;1235.9;86.0;23.6;210.4;5163.0;413.9;12.8;301.9;1685.5;177.7;25.3;270.3;6204.3;60.0;66.0;54.0;59.0;48.4;36;55;73;70;47;80;0;52;55;47;0;0;0;0;0;0;73;73;41;46;50;36;"53.0";"79.0";"77.0";"0.0";"79.9";"81461";"81421";"81173";"81138";"81051";"80521";"0";"67694";"79388";"67694";"2026-05-21";"04:19:09"
108;"WTWMD";862265073105518;"2026-05-21";"16:44:48";"WTS";"S00001";8.6;1051.4;4.5;"2026-05-21";"16:44:40";519.9;4.0;710.1;"RUN";66027.0;999.99;455.0;695.0;694.0;671.0;65.0;99.99;202.3;0.3;50.1;327.7;11.3;231.7;1235.9;86.0;23.6;210.4;5163.0;416.3;12.8;301.9;1685.5;177.7;25.3;270.3;6204.3;60.0;67.0;54.0;60.0;48.1;35;55;74;69;47;78;0;52;55;47;0;0;0;0;0;0;73;73;41;46;50;35;"53.0";"75.9";"70.0";"0.0";"79.9";"81461";"81421";"81173";"81138";"81052";"80521";"0";"67694";"79388";"67694";"2026-05-21";"04:19:39"
109;"WTWMD";862265073105518;"2026-05-21";"16:45:18";"WTS";"S00001";8.4;1075.8;5.6;"2026-05-21";"16:45:10";505.9;26.2;710.2;"RUN";491.0;491.0;455.0;695.0;694.0;671.0;65.0;99.99;211.5;0.2;50.0;330.7;11.3;231.7;1235.9;86.0;23.6;210.4;5163.0;419.2;12.8;301.9;1685.5;177.7;25.3;270.3;6204.3;60.0;67.0;54.0;60.0;48.4;36;55;73;70;47;78;0;52;55;47;0;0;0;0;0;0;73;73;41;46;50;36;"53.0";"81.0";"86.0";"0.0";"79.9";"81461";"81421";"81173";"81138";"81052";"80521";"0";"67694";"79388";"67694";"2026-05-21";"04:20:12"
110;"WTWMD";862265073105518;"2026-05-21";"16:46:18";"WTS";"S00001";8.7;1056.8;6.7;"2026-05-21";"16:46:10";342.7;2.6;711.1;"RUN";491.0;491.0;455.0;695.0;694.0;671.0;65.0;99.99;218.6;0.7;50.4;336.7;11.3;231.7;1235.9;86.0;23.6;210.4;5163.0;426.7;12.8;301.9;1685.5;177.7;25.3;270.3;6204.3;60.0;67.9;54.0;60.0;47.1;37;55;72;70;47;77;0;52;56;48;0;0;0;0;0;0;74;74;41;46;50;37;"53.0";"81.9";"83.0";"0.0";"79.9";"81461";"81421";"81173";"81138";"81052";"80521";"0";"67694";"79388";"67694";"2026-05-21";"04:23:42"
111;"WTWMD";862265073105518;"2026-05-21";"16:48:46";"WTS";"S00001";8.5;1049.5;8.4;"2026-05-21";"16:48:38";1184.9;5.6;717.7;"RUN";491.0;491.0;455.0;695.0;694.0;671.0;65.0;99.99;208.5;0.2;50.2;377.2;11.3;231.7;1235.9;86.0;23.6;210.4;5163.0;501.8;12.8;301.9;1685.5;177.7;25.3;270.3;6204.3;61.0;69.9;54.0;60.0;48.8;35;55;72;70;47;76;0;52;55;50;0;0;0;0;0;0;73;73;41;46;50;35;"54.0";"84.0";"78.0";"0.0";"79.9";"81461";"81421";"81173";"81138";"81052";"80521";"0";"67694";"79388";"67694";"2026-05-21";"04:23:45"
112;"WTWMD";862265073105518;"2026-05-21";"16:49:55";"WTS";"S00001";9.3;1211.4;5.8;"2026-05-21";"16:49:48";604.0;20.9;713.2;"RUN";491.0;491.0;455.0;695.0;694.0;671.0;65.0;99.99;218.2;0.1;49.9;393.8;11.3;231.7;1235.9;86.0;23.6;210.4;5163.0;517.6;12.8;301.9;1685.5;177.7;25.3;270.3;6204.3;61.9;69.0;54.0;60.0;48.4;35;55;73;69;47;83;0;52;55;49;0;0;0;0;0;0;73;73;41;46;50;35;"54.0";"77.0";"79.0";"0.0";"79.9";"81461";"81421";"81173";"81138";"81052";"80521";"0";"67694";"79388";"67694";"2026-05-21";"04:25:32"
113;"WTWMD";862265073105518;"2026-05-21";"16:49:59";"WTS";"S00001";8.8;1127.5;4.3;"2026-05-21";"16:50:29";404.0;0.0;712.5;"RUN";491.0;491.0;455.0;695.0;694.0;671.0;65.0;99.99;210.3;0.5;49.8;399.1;11.3;231.7;1235.9;86.0;23.6;210.4;5163.0;522.8;12.8;301.9;1685.5;177.7;25.3;270.3;6204.3;61.0;68.0;54.0;60.0;48.1;36;55;72;69;47;83;0;52;56;49;0;0;0;0;0;0;73;73;40;46;50;36;"54.0";"78.0";"75.9";"0.0";"79.9";"81461";"81421";"81173";"81138";"81052";"80521";"0";"67694";"79388";"67694";"2026-05-21";"04:25:35"
114;"WTWMD";862265073105518;"2026-05-21";"16:51:18";"WTS";"S00001";8.2;1053.3;3.3;"2026-05-21";"16:51:10";284.9;4.4;710.6;"RUN";491.0;491.0;455.0;695.0;694.0;671.0;65.0;99.99;203.7;1.2;49.8;402.7;11.3;231.7;1235.9;86.0;23.6;210.4;5163.0;527.8;12.8;301.9;1685.5;177.7;25.3;270.3;6204.3;61.0;68.0;54.0;60.0;48.4;36;55;72;69;47;83;0;52;56;49;0;0;0;0;0;0;73;73;40;46;50;36;"54.0";"79.9";"90.0";"0.0";"79.9";"81461";"81421";"81173";"81138";"81052";"80521";"0";"67694";"79388";"67694";"2026-05-21";"04:26:15"
115;"WTWMD";862265073105518;"2026-05-21";"16:51:48";"WTS";"S00001";8.2;1050.5;6.2;"2026-05-21";"16:51:40";659.4;0.0;713.0;"RUN";491.0;491.0;455.0;695.0;694.0;671.0;65.0;99.99;218.3;0.6;49.8;405.4;11.3;231.7;1235.9;86.0;23.6;210.4;5163.0;534.5;12.8;301.9;1685.5;177.7;25.3;270.3;6204.3;61.0;67.0;54.0;60.0;48.0;35;55;72;70;47;80;0;52;56;49;0;0;0;0;0;0;73;73;40;46;51;35;"54.0";"78.0";"74.0";"0.0";"79.9";"81461";"81421";"81173";"81138";"81052";"80521";"0";"67694";"79388";"67694";"2026-05-21";"04:26:39"
116;"WTWMD";862265073105518;"2026-05-21";"16:52:18";"WTS";"S00001";9.3;1195.5;5.7;"2026-05-21";"16:52:10";693.9;0.0;713.4;"RUN";99999.9;999.99;455.0;695.0;694.0;671.0;65.0;99.99;212.1;0.2;49.8;409.6;11.4;231.8;1236.0;86.0;23.6;210.4;5163.0;541.0;13.0;302.0;1685.6;177.7;25.3;270.3;6204.3;61.9;68.0;54.0;60.0;48.5;36;55;71;70;47;79;0;52;56;48;0;0;0;0;0;0;73;73;40;46;51;36;"54.0";"84.0";"86.0";"0.0";"79.9";"81461";"81421";"81173";"81138";"81052";"80521";"0";"67694";"79388";"67694";"2026-05-21";"04:27:12"
117;"WTWMD";862265073105518;"2026-05-21";"16:53:18";"WTS";"S00001";9.8;1256.4;5.8;"2026-05-21";"16:53:10";608.5;18.9;713.1;"RUN";491.0;491.0;455.0;695.0;694.0;671.0;66.0;99.99;200.5;0.1;49.6;419.4;11.4;231.8;1236.0;86.0;23.6;210.4;5163.0;551.6;13.0;302.0;1685.6;177.7;25.3;270.3;6204.3;61.9;68.0;54.0;60.0;48.6;36;55;72;70;47;84;0;52;56;49;0;0;0;0;0;0;73;73;40;46;51;36;"54.0";"77.9";"83.0";"0.0";"79.9";"81461";"81421";"81173";"81138";"81052";"80521";"0";"67694";"79388";"67694";"2026-05-21";"04:28:23"
118;"WTWMD";862265073105518;"2026-05-21";"16:53:51";"WTS";"S00001";9.8;1176.4;5.2;"2026-05-21";"16:53:44";804.8;24.2;714.5;"RUN";491.0;491.0;455.0;695.0;694.0;671.0;66.0;99.99;214.6;0.4;49.8;424.7;11.4;231.8;1236.0;86.0;23.6;210.4;5163.0;557.3;13.0;302.0;1685.6;177.7;25.3;270.3;6204.3;61.0;68.0;54.0;61.0;48.4;35;55;73;69;47;78;0;52;56;49;0;0;0;0;0;0;74;74;40;46;51;35;"54.0";"81.0";"84.0";"0.0";"79.9";"81461";"81421";"81173";"81138";"81052";"80521";"0";"67694";"79388";"67694";"2026-05-21";"04:28:46"
119;"WTWMD";862265073105518;"2026-05-21";"16:54:18";"WTS";"S00001";10.6;1300.3;7.9;"2026-05-21";"16:54:10";1065.7;1.1;716.5;"RUN";491.0;491.0;455.0;695.0;694.0;671.0;66.0;99.99;209.9;0.4;49.6;430.3;11.4;231.8;1236.0;86.0;23.6;210.4;5163.0;565.4;13.0;302.0;1685.6;177.7;25.3;270.3;6204.3;61.0;68.0;54.0;61.0;48.7;35;55;72;69;47;86;0;52;55;49;0;0;0;0;0;0;73;73;40;46;51;35;"54.0";"76.0";"96.0";"0.0";"79.9";"81461";"81421";"81173";"81138";"81052";"80521";"0";"67694";"79388";"67694";"2026-05-21";"04:29:16"
120;"WTWMD";862265073105518;"2026-05-21";"16:54:48";"WTS";"S00001";11.5;1473.7;5.6;"2026-05-21";"16:54:40";892.9;9.9;714.4;"RUN";491.0;491.0;455.0;695.0;694.0;671.0;66.0;99.99;205.2;0.2;49.9;438.2;11.4;231.8;1236.0;86.0;23.6;210.4;5163.0;572.3;13.0;302.0;1685.6;177.7;25.3;270.3;6204.3;61.0;68.0;54.0;61.0;48.2;35;55;72;69;47;80;0;52;55;49;0;0;0;0;0;0;73;73;40;46;51;35;"54.0";"80.0";"87.0";"0.0";"79.9";"81461";"81421";"81173";"81138";"81052";"80521";"0";"67694";"79388";"67694";"2026-05-21";"04:29:39"
121;"WTWMD";862265073105518;"2026-05-21";"16:55:18";"WTS";"S00001";10.5;1345.4;7.0;"2026-05-21";"16:55:10";723.6;75.0;714.7;"RUN";491.0;491.0;455.0;695.0;694.0;671.0;66.0;99.99;200.7;0.1;49.8;445.6;11.4;231.8;1236.0;86.0;23.6;210.4;5163.0;577.3;13.0;302.0;1685.6;177.7;25.3;270.3;6204.3;61.0;68.0;54.0;61.0;48.7;35;55;73;69;47;80;0;52;55;49;0;0;0;0;0;0;73;73;40;46;51;35;"54.0";"85.0";"73.0";"0.0";"79.9";"81461";"81421";"81173";"81138";"81052";"80521";"0";"67694";"79388";"67694";"2026-05-21";"04:30:12"
122;"WTWMD";862265073105518;"2026-05-21";"16:56:18";"WTS";"S00001";11.2;1435.3;8.0;"2026-05-21";"16:56:10";1175.9;1.0;718.1;"RUN";491.0;491.0;456.0;695.0;694.0;671.0;66.0;99.99;209.6;0.2;49.8;459.4;11.4;231.8;1236.0;86.0;23.6;210.4;5163.0;598.4;13.0;302.0;1685.6;177.7;25.3;270.3;6204.3;61.9;69.9;54.0;61.0;48.1;35;55;72;70;47;87;0;52;55;49;0;0;0;0;0;0;73;73;40;46;51;35;"54.0";"78.0";"90.0";"0.0";"79.9";"81461";"81421";"81173";"81138";"81052";"80521";"0";"67694";"79388";"67694";"2026-05-21";"04:31:23"
123;"WTWMD";862265073105518;"2026-05-21";"16:56:51";"WTS";"S00001";11.8;1521.3;6.9;"2026-05-21";"16:56:44";828.6;0.4;715.2;"RUN";491.0;491.0;456.0;695.0;694.0;671.0;66.0;99.99;204.3;0.3;50.1;468.7;11.4;231.8;1236.0;86.0;23.6;210.4;5163.0;607.9;13.0;302.0;1685.6;177.7;25.3;270.3;6204.3;61.0;69.0;54.0;61.0;48.8;35;55;72;70;47;86;0;52;55;49;0;0;0;0;0;0;73;73;40;46;51;35;"55.0";"81.9";"77.9";"0.0";"79.9";"81461";"81421";"81173";"81138";"81052";"80521";"0";"67694";"79388";"67694";"2026-05-21";"04:31:46"
124;"WTWMD";862265073105518;"2026-05-21";"16:57:18";"WTS";"S00001";10.1;1302.9;7.8;"2026-05-21";"16:57:10";710.6;24.2;714.0;"RUN";491.0;491.0;456.0;695.0;694.0;671.0;66.0;99.99;200.6;0.1;50.0;474.5;11.4;231.8;1236.0;86.0;23.6;210.4;5163.0;614.3;13.0;302.0;1685.6;177.7;25.3;270.3;6204.3;61.0;69.0;54.0;61.0;48.9;35;55;72;69;47;80;0;52;55;49;0;0;0;0;0;0;73;73;40;46;51;35;"54.0";"82.0";"93.0";"0.0";"79.9";"81461";"81421";"81173";"81138";"81052";"80521";"0";"67694";"79388";"67694";"2026-05-21";"04:32:16"
125;"WTWMD";862265073105518;"2026-05-21";"16:57:48";"WTS";"S00001";9.6;1242.3;4.3;"2026-05-21";"16:57:40";595.6;0.0;711.8;"RUN";491.0;491.0;456.0;695.0;694.0;671.0;66.0;99.99;215.4;0.3;50.1;479.8;11.4;231.8;1236.0;86.0;23.6;210.4;5163.0;619.5;13.0;302.0;1685.6;177.7;25.3;270.3;6204.3;61.0;69.9;54.0;61.0;48.2;35;55;72;69;47;85;0;52;55;49;0;0;0;0;0;0;74;74;40;46;51;35;"55.0";"79.9";"87.0";"0.0";"79.9";"81461";"81421";"81173";"81138";"81052";"80521";"0";"67694";"79388";"67694";"2026-05-21";"04:32:39"
126;"WTWMD";862265073105518;"2026-05-21";"16:58:18";"WTS";"S00001";8.5;1105.9;5.6;"2026-05-21";"16:58:10";535.9;19.5;712.4;"RUN";491.0;491.0;456.0;695.0;694.0;671.0;66.0;99.99;209.9;0.2;50.0;483.6;11.4;231.8;1236.0;86.0;23.6;210.4;5163.0;623.6;13.0;302.0;1685.6;177.7;25.3;270.3;6204.3;61.0;68.0;54.0;61.0;48.3;35;55;72;69;47;84;0;52;55;49;0;0;0;0;0;0;74;74;40;46;51;35;"54.0";"83.0";"83.0";"0.0";"79.9";"81461";"81421";"81173";"81138";"81052";"80521";"0";"67694";"79388";"67694";"2026-05-21";"04:33:12"
127;"WTWMD";862265073105518;"2026-05-21";"16:59:18";"WTS";"S00001";10.8;1370.2;8.5;"2026-05-21";"16:59:10";1232.5;42.0;719.7;"RUN";491.0;491.0;456.0;695.0;694.0;671.0;66.0;99.99;200.7;0.5;50.4;495.2;11.4;231.8;1236.0;86.0;23.6;210.4;5163.0;645.9;13.0;302.0;1685.6;177.7;25.3;270.3;6204.3;61.0;69.0;55.0;61.0;48.5;35;55;72;69;46;77;0;52;55;49;0;0;0;0;0;0;74;74;40;46;51;35;"55.0";"85.0";"75.0";"0.0";"79.9";"81461";"81421";"81173";"81138";"81052";"80521";"0";"67694";"79388";"67694";"2026-05-21";"04:34:23"
128;"WTWMD";862265073105518;"2026-05-21";"16:59:52";"WTS";"S00001";12.5;1600.8;8.0;"2026-05-21";"16:59:44";1587.4;25.6;722.9;"RUN";491.0;491.0;456.0;695.0;694.0;671.0;66.0;99.99;214.8;0.6;50.3;507.6;11.4;231.8;1236.0;86.0;23.6;210.4;5163.0;658.4;13.0;302.0;1685.6;177.7;25.3;270.3;6204.3;62.0;69.0;55.0;61.0;48.2;35;55;72;69;46;82;0;52;55;49;0;0;0;0;0;0;74;74;40;46;51;35;"55.0";"81.0";"70.0";"0.0";"79.9";"81461";"81421";"81173";"81138";"81052";"80521";"0";"67694";"79388";"67694";"2026-05-21";"04:34:46"
